clinic_id,name,city,state,status_code,photo_url
"1666_1","Atlantic Health Sleep Centers at Chilton Medical Center","Pompton Plains","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBFn76ohR4e-KkIhbXXE9w6wC1GEJVb60_xIEXCf09CpxBGyHcwOUGOtjyOnUbrzDAZBnckHY547pu7i1l75ZPg7I8L3R5xOZ0oOuxjRzv6m4pcbnU9mMs5T0E3L3fe9P2vjwjTCCnsjeI=w800-h600-k-no"
"1661_6","The Heart Center of the Oranges","Maplewood","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyiJL-HwhqY8E78OpnJCAK9iLz_STQr6TE0ItZLTdeoTuoZQCKoPLCdq0QVXG2hIegnFhQU3n2JfWTtcRmzt0JdcvCJsJODMImF5b1pvi6BadWY2Y-zhY0OCky85_LPD1-Opj1GyQ=w800-h600-k-no-p-k-no"
"1671_1","River Falls Area Hospital","River Falls","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxDZ762zLXftKxEtP3hpL2vnddqLq_VYj0mZtJXbyaDWOEA0a8RCLSo72b8Pe99m9gUlKKxPdM3XpubWhrG09XdTopFOMWWgVZO-12RwW5x3nVV-c-a3CfQqauxtwbqRNkm=w800-h600-k-no"
"1678_1","NYU Langone Ambulatory Care- Chelsea","New York","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBAy1YSiMmz6uwe63j3-wJDSI1Ko4ZNAn51M3blhK6_0tOLcymYl46tovnteF_UUCZaO2uJB19sMN7-xAeSnz5TZifoO6IEzb1VAcMUy_xcaDJvRawjM6V8wihvM6JTHAwR906Cw=w800-h600-k-no-p-k-no"
"1686_1","Weill Cornell Pediatric Sleep and Breathing Disorders Center","New York","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxyBPhRD8zqPNESfwfy48Z-pg6pDJ5-64YrNpsS3WEteZ1uG2fh4vV8h1Jnlw7yn7HCaYYie7ljs6x12HndUUDkhh_2mNqP5DVN9VGUtdP6w2bNuKiZuaOIjxrjFVCbtLbRfqaG=w800-h600-k-no-p-k-no"
"1684_1","Sleep / Wake Center","North Bergen","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzOZQPrwr514_1wt_2JpVbPgtQjJWSoiU-n7DhV0lucFkpsJBMTwJxtTB1PZ6N7kHjvenufNK8-dGxMSo1_9TG5mRN4zkAxmCT9HAZgZ4zawvW9FNb2MHdmimIxVjmymVgEDg=w800-h600-k-no-p-k-no"
"1685_1","Comprehensive Sleep Center","Fair Lawn","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSztLHNCVwHTvh-rmExn8dSQIXD7Vr0OWlofURQAV7nXU0Fcscm_TgaCdHtg6S_Fen0zZtfdJEqJORKTwKtXbEh_A1ISRfRgevlltkuu3Mf7AGzwb8oJCCJYR1Bnfma82omp57U=w800-h600-k-no-p-k-no"
"1690_2","Lenox Hill Hospital Northwell Health","New York","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx069GyAMFmof3EypsazuL2m45C3mTsPGWxq3NcaLRnM3Ul1e5ifBFwJaKhccuA0euqxv5YFgBFiNoPh5kqKbO5vH4jUlr2Q75JEhhVf8Pp5HXj-P7D3gLGGdC0wZt-f84IzR4rSGNofuw=w800-h600-k-no-p-k-no"
"1697_1","OSF St. Francis Hospital and Medical Group Adult and Child Sleep Diagnostic Center","Escanaba","MI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxISKctNHfPr8wAKIUiXwBs-kCSSbWr0r5LAPpcgJ98iwRuumgI8PoLbJ0aUIJjsf_RfZsvCyCcOu5xMxK4a2hO8EFVXzYXWxixax-cWOGDynZMx3hdnhN4ClZFXpFyxP_AgG0S=w800-h600-k-no-p-k-no"
"1690_1","Lenox Hill Hospital Northwell Health","New York","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcL96lXMfY78PqjN9F06ZrOCBKU_GyuRBjEXAKUoEG36jhof4s3bz2f17RgL8xFe6nA6wzVcuQOtv6x7oaaBBrnjzsVKCJ6vq7-8boAG04NRvcmiBHc_g6UIjcoQmjt9H5QQ=w800-h600-k-no-p-k-no"
"1707_1","NY Metro Sleep","Bronx","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxI4I0OA9CMtg5SC9VF49r-NwB1AtgWGgDSxrUECH-byq1zFKEWvEWIj0ZKGhixBpjElu_yQT6t7Ma8-I3cI__O3ujIS5PiwYsQovCz46bhm7dQBzqY5V-5n_hDlQKrJRIf71ZWWw=w800-h600-k-no-p-k-no"
"1703_1","Bon Secours Sleep Disorder Institute","Suffern","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHEfFgbSdEioNOIfq2XODyX9Ho_nUwcXSXrWwz3SPBGrCV9tLRu6tq1p7RdxoxF3NIZL2GCNtiGYYABXrqA7UMqF8c3KtBmVw-LouSFTXSVnSUCn4qMFJQslX3UmXx-A4InUcYPg=w800-h600-k-no-p-k-no"
"1701_1","The Center for Sleep Medicine at St Barnabas Hospital","Bronx","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzS3Iq7f2J9OZ4zFUcO3mLGoW_nz2EnSPi7LTbpjYT1r0PwG1UvENKbJT8ixMasGE-MVjqYitgP4-YkXPUrsiBN4VE-UiCvRcuxhdWbheRJdTCZdrtoggWxx8fXW6ph7jI0qIMm6w=w800-h600-k-no-p-k-no"
"1714_4","Crystal Run Healthcare Physicians LLP","Rock Hill","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGIyBoE9bqzRoevdXSxu57TMFjciEdvE-TL677uqr3HnZS93Cmw8qKyLM2gZcVB0pCStP5YUPd9ghItDNBTSsYf9ZFEyRVVZg1UFxrb7IWCEysozxImGUQo986m0yOxRGpDOqd=w800-h600-k-no"
"1710_1","Marshfield Medical Center- Dickinson Sleep Medicine Center","Kingsford","MI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKhgiTudYBHjKbnainTqWem4k5Jz5miAOjBJi3F2PvUg_5kJGnJxuLVp2K-urs82wsPAezDkjmjpzNuOPnTpueh-_DLsTT8dVcKN2nU0eDtlO0h2NIiZrt8yADt001Hdoi5lHS=w800-h600-k-no-p-k-no"
"1714_6","Crystal Run Healthcare Physicians LLP","Goshen","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8nRW9VC0t20QL2L575UeQaoH_FAwy6HFYKWdN_BbhcXfyq4ePlVN2_x9ssOHkt_PjpTdFBiiAK7_6vC-bcIwdbguNbnbXogs06VCsKOb0fVI1TX9KT-iWjmT0o6mRAlLJpPjn=w800-h600-k-no-pi-10.891242-ya144.81355-ro-1.0095567-fo100"
"1717_1","Fairview Sleep Centers - Edina","Edina","MN","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqgc1ZjWndfjMozilOc1MWj1rTIMNQdFDuhyQdCgAOWkGh1mMb7jwyKe27ts_S83maa_4EQXBvWQ3QBqyAcqjzEutqfjktTXLOhjix-8hw_vaYk53l-T7Q72EpN8M_pmP5WQm7QA=w800-h600-k-no-p-k-no"
"1721_2","Northwell Health Sleep Disorders Center","Great Neck","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwA1lHZKJfdtizvH73O5TjqQhrco7hx7KZRAofkuTIUs_VxkSWzaLkAqUHu-w_UGPerwhULepueyhphAoUwgTt6j1Cpe61HMdBuseEvkHWE9Sv6MyppxvDGgBWR4qzbj3tYC8IArA=w408-h354-k-no"
"1719_1","Middletown Medical Sleep Center","Middletown","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyt01uYLfhQN17gB1Zzm6OrSLxsP07bsjhu9u0GetoLD_2TFLdlYsTuRRTN0sj05ttlDmUXWX3N5Mb4Uu6KBK_WumEB70JWwDKsJSDhKfzGvWdjZAfPsdnDVJdhXLHsqeNsJeM=w800-h600-k-no-pi-0-ya138.28477-ro-0-fo100"
"1716_11","Gillette Children's Sleep Services","St Paul","MN","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw65DxF7KjU6QwxAFY6yA_dos9IkMejG2lvpE1ozsm9iJXFNGk0q9IAvWr_olnF46g_SW8MtmArgHqKBvKjR6lbF-kysLqO2UvtZVG-2yMz51AWavD9KWuCze-ON1WD1xWH7Tsc=w800-h600-k-no"
"1716_9","Gillette Children's Sleep Services","Baxter","MN","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYrayhAuQWV_DbPT0DaKjvpV4c7hO_F_z4ly2NIV_Yb1HD9Q8fiBo8UeSFXl7BRavLg163-UpBJ-kWyhpQ84mdh8ZdwP_FlaCJI1unzsmweT1DUGNOtzc7Z-N8rA-rzrFfGhGzRQ=w800-h600-k-no-p-k-no"
"1737_3","Schoolcraft Memorial Hospital Sleep Lab","Naubinway","MI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwiW4KLTivywFLdt2gNVWQeH7eHTxOitWvxUwOzxA_Bd0zDyY7H7SQXq856cQeUHEebJbbDpNC0NxnqD5Su9NuH0TqGXCxU9hkYqi31xNnIJ0WnTwMd7eccnstoxLI5ETsKvbl8=w800-h600-k-no-p-k-no"
"1747_1","The Sleep Center at Greenwich Hospital","Greenwich","CT","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw6B5P-Qgg1mR_5leWKtGXuRR8HHwVXe4iqPjhoFxeLFut7XAWy-nzsQfv40iHk-QAKVRQxXcjjoemZwGupa7wkgD4VK0PqV81gTe-Y8P1_3gkQNEl6AWaf_OdMFnXcGJm4t6Y7=w800-h600-k-no"
"1737_2","Schoolcraft Memorial Hospital Sleep Lab","Manistique","MI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdhpdUhi30jGznDCdhrfYHVncFF_hZTygwPnKmnynn-2kDbJ3iF2pk4yL61_aH1NIKpyOuYR6U73dalgnE4rHzvDcALkKSdxG8dvVefBNHf6zz5nBP-FS31KaHnbT_LT68-nQ=w800-h600-k-no"
"1765_5","St. Croix Regional Sleep Center","St. Croix Falls","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzF7uWFQoXNbedyraQm7IKAa4kunC79xlRxQI9WJNJLypGfV19xT07o1Zk_rx_Q1v_d9bgTqWi1tUyKco2xAEkZY7mZL9a8u8q8GDdykUJyWl2UGy3-VSaJEfKWqCySyOnWicM=w800-h600-k-no-p-k-no"
"1765_6","St. Croix Regional Sleep Center","St. Croix Falls","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyF4GiN2iFRS0PMYruomYIme3ewW8wUb68YcPZwb_EC8I9hMT_rP-hKfEAPJgwwMMv4HKwAsmngC9WhsaY6WbO2VrMIpuX0_eI34GLKefKhxp_tdOGZUW6AWyXrD8dfzF8CzSc=w800-h600-k-no"
"1765_2","St. Croix Regional Sleep Center","Balsam Lake","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOZsgEOdSMtwdSHRaHVCQvipXZ6-I9Klr7ShCR0gvfg2ej97UXIg9IveAVDHqYCQy5OTZor2v6WvZsrvIs_m4qhNaM0fEJg2TiW1JwM439vXMVtptygCy_T_6lWOel5Ae4erjZ=w800-h600-k-no-p-k-no"
"1764_6","A.O. Fox Memorial Hospital","Stamford","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwW47pd2KIdYOm0RqEMsUOn_XXl1W-lqmC4X1uHOoNlveEeq811cucDMXfAlnLULOwO2VDuLHGhy5-lMQUBJkEAaG5un1H5IZDGMRxBLeyeNcmTQ496olagCGQDMBe9Mn_zT7BJ85DcEVuX=w800-h600-k-no-p-k-no"
"1781_1","Bassett Medical Center","Cooperstown","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXbIVPACSkWu1Z6-kP9975smDbFz95LBaCNxWgPYj3zJ0jwEGq3-KEuanmp_9Xo5P2Bk8IDGaYqjrwvZkzNXcUyqok572IpMBnXJT5aWReJkS_q8i3metF-5mjNj8iVsZMyMvx=w800-h600-k-no"
"1800_1","Yale New Haven Children's Hospital Pediatric Sleep Disorders Center","New Haven","CT","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJeVkons_ikvl2QxC_9uVHJfQ56zt_R9I4LPuq1J3tI9-ObYZfXG7lWGjeJt3mINHKbpvr6CmrUz44zIRhoNNjMzaalO9JlYTx2HRw8jdQGwz-mH-INKnhVqEklnTM34LVf1U=w800-h600-k-no-p-k-no"
"1801_1","My Michigan Sleep Disorders Center Sault","Sault Ste Marie","MI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmvp2jJ7A1hqSlgITf3KFduoviaruK8-MBxOXzAsKiLJ3NbjZIShCwu9fb2eIoEcFbxb0-2yMNgGVu2Xo6lwqj_iGaag54_vul9ZN818AO6iBos883vCHbqPiKzmK9vblWmGXLGw=w800-h600-k-no-p-k-no"
